authoritative_score,authoritarian_score,permissive_score,secure_score,avoidant_score,anxious_score
4.85,1.95,2.15,4.78,2.35,2.25
2.76,2.8461538461538463,3.0,2.875,3.2,2.5555555555555554
4.72,2.05,2.32,4.65,2.42,2.32
4.65,2.12,2.25,4.58,2.38,2.15
4.58,1.98,2.18,4.72,2.28,2.22
4.92,2.08,2.28,4.85,2.32,2.35
2.18,4.82,2.35,2.32,4.75,2.42
2.22,4.75,2.42,2.25,4.68,2.38
2.15,4.68,2.28,2.18,4.72,2.32
2.35,4.92,2.32,2.28,4.82,2.28
2.28,4.85,2.38,2.35,4.78,2.35
2.32,2.38,4.72,2.42,2.35,4.85
2.25,2.32,4.65,2.38,2.28,4.78
2.18,2.25,4.82,2.32,2.32,4.82
2.28,2.28,4.75,2.35,2.42,4.72
2.35,2.35,4.68,2.28,2.38,4.75
1.82,1.95,4.58,2.22,2.32,4.62
1.95,1.85,4.65,2.15,2.28,4.68
1.75,1.78,4.72,2.08,2.35,4.72
3.15,2.6923076923076925,2.25,2.125,2.9,3.2222222222222223
1.53,1.4615384615384615,1.0,4.625,3.1,4.666666666666667
4.53,4.769230769230769,4.5,3.25,3.2,2.888888888888889
1.92,1.6153846153846154,2.25,4.625,2.9,4.444444444444445
4.538461538461538,4.3076923076923075,4.5,4.5,2.9,4.555555555555555
4.614615,4.6923076923076925,4.25,2.125,3.0,2.2222222222222223
1.38153846,1.3076923076923077,1.5,1.875,3.2,1.4444444444444444
1.386,1.2307692307692308,1.75,2.375,2.6,1.6666666666666667
1.693,1.6923076923076923,1.25,1.75,3.0,1.3333333333333333
2.23,2.0,1.5,3.0,2.8,3.111111111111111
4.5361538,4.6923076923076925,4.75,1.5,2.3,1.4444444444444444
1.46,1.4615384615384615,1.5,1.0,2.8,2.0
3.0,2.923076923076923,3.0,4.375,2.9,4.555555555555555
4.38,4.230769230769231,4.5,2.375,3.8,2.888888888888889
2.3,2.6923076923076925,3.0,3.125,2.4,2.888888888888889
3.6923076923077,2.8461538461538463,2.75,3.125,2.8,3.0
1.3,1.8461538461538463,1.5,1.75,3.6,1.6666666666666667
1.6,1.1538461538461537,1.75,3.375,3.1,3.2222222222222223
1.68,1.72,4.78,2.12,2.42,4.78
1.82,1.65,4.65,2.05,2.38,4.65
4.78,2.12,2.32,4.68,2.42,2.28
4.82,2.05,2.25,4.75,2.38,2.35
4.75,1.98,2.18,4.82,2.32,2.32
4.68,2.15,2.28,4.78,2.28,2.25
4.72,2.08,2.35,4.72,2.35,2.18
2.25,4.78,2.28,2.35,4.65,2.45
2.32,4.65,2.35,2.28,4.72,2.38
2.18,4.72,2.42,2.22,4.75,2.32
2.15,4.68,2.38,2.18,4.68,2.28
2.28,4.75,2.32,2.25,4.82,2.35
2.35,2.32,4.68,2.38,2.42,4.72
2.42,2.28,4.75,2.35,2.38,4.78
2.38,2.35,4.82,2.42,2.32,4.85
2.32,2.42,4.78,2.38,2.28,4.82
2.28,2.38,4.72,2.35,2.35,4.75
1.75,1.82,4.65,2.18,2.32,4.68
1.68,1.75,4.72,2.05,2.28,4.75
1.82,1.68,4.78,2.12,2.35,4.82
1.75,1.72,4.65,2.08,2.42,4.78
1.85,1.78,4.58,2.15,2.38,4.65
4.68,2.25,2.18,4.58,2.45,2.32
4.75,2.18,2.25,4.65,2.38,2.28
4.82,2.12,2.32,4.72,2.32,2.35
4.78,2.05,2.28,4.78,2.28,2.38
4.65,2.15,2.35,4.68,2.35,2.42
2.28,4.62,2.42,2.22,4.58,2.48
2.35,4.58,2.38,2.32,4.65,2.42
2.42,4.65,2.32,2.25,4.72,2.38
2.38,4.72,2.25,2.18,4.78,2.32
2.32,4.68,2.18,2.28,4.65,2.28
2.25,2.38,4.58,2.32,2.45,4.68
2.18,2.32,4.65,2.38,2.38,4.75
2.15,2.25,4.72,2.35,2.32,4.82
2.22,2.18,4.78,2.28,2.28,4.72
2.32,2.28,4.65,2.35,2.35,4.65
1.85,1.72,4.58,2.15,2.32,4.58
1.78,1.85,4.62,2.08,2.28,4.65
1.72,1.78,4.68,2.12,2.35,4.72
1.65,1.72,4.75,2.05,2.42,4.78
1.82,1.68,4.62,2.18,2.38,4.65
4.72,1.85,2.28,4.75,2.32,2.28
4.65,1.92,2.35,4.68,2.28,2.35
4.58,1.98,2.42,4.82,2.35,2.42
4.82,2.05,2.38,4.78,2.42,2.38
4.75,2.12,2.32,4.65,2.38,2.32
2.32,4.75,2.25,2.38,4.72,2.35
2.25,4.82,2.18,2.32,4.78,2.28
2.18,4.72,2.28,2.25,4.65,2.32
2.28,4.68,2.35,2.18,4.82,2.38
2.35,4.65,2.42,2.28,4.75,2.45
2.42,2.35,4.78,2.45,2.32,4.82
2.38,2.28,4.72,2.38,2.28,4.75
2.32,2.32,4.65,2.32,2.35,4.68
2.28,2.38,4.82,2.28,2.42,4.85
2.35,2.45,4.75,2.35,2.38,4.78
1.72,1.75,4.68,2.12,2.32,4.65
1.65,1.82,4.75,2.05,2.28,4.72
1.75,1.68,4.65,2.15,2.35,4.78
1.82,1.75,4.58,2.08,2.42,4.65
1.68,1.85,4.72,2.18,2.38,4.72
4.58,2.18,2.22,4.62,2.35,2.25
4.65,2.12,2.28,4.68,2.28,2.18
4.72,2.05,2.35,4.75,2.32,2.22
4.78,1.98,2.32,4.82,2.38,2.28
4.85,2.15,2.25,4.78,2.45,2.35
2.35,4.58,2.28,2.28,4.65,2.32
2.28,4.65,2.35,2.35,4.72,2.38
2.22,4.72,2.42,2.28,4.78,2.45
2.18,4.78,2.38,2.22,4.65,2.42
2.25,4.65,2.32,2.18,4.72,2.38
2.28,2.42,4.65,2.35,2.38,4.72
2.35,2.38,4.72,2.42,2.32,4.78
2.42,2.32,4.78,2.38,2.28,4.85
2.38,2.28,4.85,2.32,2.35,4.82
2.32,2.35,4.72,2.25,2.42,4.72
1.78,1.68,4.58,2.05,2.32,4.68
1.85,1.75,4.65,2.12,2.28,4.75
1.72,1.82,4.72,2.08,2.35,4.82
1.65,1.78,4.78,2.15,2.42,4.75
1.75,1.72,4.65,2.18,2.38,4.68
4.82,2.08,2.25,4.75,2.32,2.28
4.75,2.15,2.32,4.82,2.28,2.35
4.68,2.22,2.28,4.68,2.35,2.42
4.62,2.18,2.35,4.75,2.42,2.38
4.78,2.25,2.32,4.82,2.38,2.32
2.25,4.82,2.32,2.32,4.78,2.28
2.32,4.78,2.28,2.25,4.85,2.35
2.38,4.72,2.35,2.18,4.72,2.42
2.42,4.68,2.42,2.28,4.78,2.38
2.35,4.75,2.38,2.35,4.65,2.35
2.28,2.35,4.72,2.25,2.42,4.78
2.35,2.28,4.78,2.32,2.38,4.85
2.32,2.32,4.85,2.38,2.32,4.92
2.28,2.38,4.78,2.45,2.28,4.78
2.25,2.42,4.72,2.38,2.35,4.72
1.68,1.85,4.65,2.08,2.32,4.65
1.75,1.78,4.58,2.12,2.28,4.72
1.82,1.72,4.72,2.15,2.35,4.78
1.75,1.65,4.78,2.08,2.42,4.85
1.68,1.78,4.85,2.18,2.38,4.82
1.58,1.68,1.62,2.12,2.28,2.38
1.65,1.55,1.55,2.05,2.35,2.32
1.72,1.62,1.68,2.15,2.42,2.28
1.58,1.75,1.58,2.08,2.38,2.35
1.65,1.68,1.65,2.18,2.32,2.42
4.65,2.28,2.35,4.58,2.45,2.32
4.72,2.22,2.28,4.65,2.38,2.28
4.78,2.15,2.32,4.72,2.32,2.35
4.85,2.08,2.25,4.78,2.28,2.38
4.62,2.18,2.18,4.65,2.35,2.42
2.32,4.65,2.45,2.25,4.58,2.48
2.25,4.72,2.38,2.32,4.65,2.42
2.18,4.78,2.32,2.38,4.72,2.38
2.28,4.65,2.28,2.32,4.78,2.32
2.35,4.58,2.35,2.25,4.65,2.28
1.46153846,1.2307692307692308,1.25,3.125,2.9,3.111111111111111
4.15,4.615384615384615,4.5,3.0,2.0,3.0
4.846153846,4.461538461538462,4.75,3.125,2.7,3.0
4.76923,4.615384615384615,4.25,2.875,2.8,2.888888888888889
3.0,2.8461538461538463,3.0,3.0,3.5,3.2222222222222223
1.307692,1.8461538461538463,1.75,4.25,2.9,4.555555555555555
4.076923076925,4.461538461538462,5.0,2.0,3.0,1.5555555555555556
2.69,2.8461538461538463,3.25,4.25,3.2,4.444444444444445
4.923076925,4.615384615384615,4.5,2.75,3.1,3.0
1.153846,1.3846153846153846,1.25,3.25,2.8,3.2222222222222223
1.537,1.3076923076923077,1.25,3.125,3.0,3.5555555555555554
2.69,2.8461538461538463,3.0,3.0,3.2,3.4444444444444446
4,4.769230769230769,4.5,4.625,3.2,4.777777777777778
2.3,2.923076923076923,3.0,1.5,3.4,1.3333333333333333
2.230769,2.769230769230769,2.75,2.375,3.0,3.888888888888889
4.4615384615,4.615384615384615,4.75,3.25,3.0,3.4444444444444446
3.76923076923077,2.769230769230769,2.5,3.25,3.1,3.4444444444444446
1.308,1.5384615384615385,1.75,2.875,2.5,3.0
1.076923,1.4615384615384615,1.75,2.0,3.0,1.5555555555555556
1.23,1.6153846153846154,1.5,1.875,3.0,1.8888888888888888
1.7692,1.8461538461538463,2.0,2.75,2.8,3.4444444444444446
4.8461538461538,4.846153846153846,4.75,3.5,3.3,3.2222222222222223
3.0,3.0,3.0,3.25,2.9,3.3333333333333335
1.615385,1.4615384615384615,1.25,1.5,3.3,1.7777777777777777
1.15385,1.4615384615384615,1.0,2.375,2.6,1.5555555555555556
3.0,2.769230769230769,3.5,2.625,3.3,3.0
1.6153846153846154,1.3846153846153846,1.5,4.625,2.7,4.555555555555555
2.23,2.3846153846153846,3.5,3.0,2.9,3.2222222222222223
4.615,4.6923076923076925,5.0,2.5,3.6,3.111111111111111
1.4615384615,1.4615384615384615,1.25,2.75,3.2,3.3333333333333335
4.38,4.6923076923076925,4.25,4.375,2.9,4.555555555555555
1.38463,1.8461538461538463,2.25,4.375,2.8,4.555555555555555
1.077,1.3846153846153846,1.25,2.0,3.2,1.8888888888888888
2.23,2.923076923076923,2.75,4.625,3.2,4.333333333333333
2.76923,2.769230769230769,2.75,4.75,3.1,4.555555555555555
2.154,2.923076923076923,3.25,3.25,2.8,3.4444444444444446
1.3,1.6153846153846154,2.25,3.0,3.0,3.111111111111111
1,1.4615384615384615,1.0,1.25,2.9,2.111111111111111
1.769,1.5384615384615385,1.75,1.875,2.7,1.3333333333333333
1.5,1.3076923076923077,1.5,4.75,3.0,4.333333333333333
2.30769,2.769230769230769,2.5,4.125,3.0,4.777777777777778
4.61538,4.769230769230769,4.5,3.0,3.5,2.888888888888889
4.38462,4.461538461538462,4.5,4.375,2.9,4.555555555555555
4.0769,4.6923076923076925,5.0,4.5,3.1,4.444444444444445
1.31,1.6153846153846154,1.75,3.5,3.3,3.0
2.3077,1.3846153846153846,1.75,3.5,2.9,2.0
3.0,2.8461538461538463,3.0,1.5,2.9,1.8888888888888888
2.3,2.769230769230769,3.25,4.75,3.0,4.555555555555555
1.15,1.2307692307692308,1.25,3.125,2.8,3.0
4.9,4.461538461538462,4.75,3.25,3.2,3.111111111111111
2.3,2.769230769230769,3.5,1.375,3.4,1.3333333333333333
3.7,3.076923076923077,3.0,2.0,2.9,1.6666666666666667
1.46,1.6923076923076923,1.75,4.5,3.0,4.444444444444445
1.231,1.5384615384615385,2.0,2.875,3.1,2.7777777777777777
4.2,4.615384615384615,4.75,2.75,3.3,3.888888888888889
2.1,2.3846153846153846,2.0,2.75,2.2,3.111111111111111
2.769,2.923076923076923,3.5,4.625,2.9,4.666666666666667
3.77,3.0,3.5,3.25,2.9,3.5555555555555554
1.76923,2.0,2.0,2.5,2.3,3.7777777777777777
2.076923,2.769230769230769,3.0,2.375,2.9,3.0
4.230769,4.538461538461538,4.25,4.5,2.9,4.444444444444445
1.07692,1.8461538461538463,1.75,4.5,3.0,4.555555555555555
1.6923,1.5384615384615385,1.75,1.875,3.0,1.7777777777777777
2.76923,2.923076923076923,3.25,2.625,3.6,3.0
1.92,1.7692307692307692,2.0,2.875,3.2,3.111111111111111
4.769230769230769,4.615384615384615,4.5,3.0,3.1,3.2222222222222223
1.4615384615384615,1.8461538461538463,1.5,2.75,3.2,2.7777777777777777
1.3846153846153846,1.3076923076923077,1.25,1.625,3.3,1.6666666666666667
1.5384615384615385,1.4615384615384615,1.5,4.625,3.0,4.333333333333333
1.7692307692307692,1.9230769230769231,2.0,2.75,2.5,3.6666666666666665
1.6923076923076923,1.6153846153846154,1.75,4.625,3.0,4.444444444444445
1.4615384615384615,1.5384615384615385,1.25,1.5,2.6,1.7777777777777777
2.8461538461538463,2.5384615384615383,3.0,3.625,3.1,2.5555555555555554
2.769230769230769,2.769230769230769,3.25,2.5,3.3,3.3333333333333335
1.2307692307692308,1.6153846153846154,1.0,4.875,3.2,4.333333333333333
1.5384615384615385,1.3076923076923077,1.75,4.75,3.0,4.555555555555555
2.1538461538461537,1.7692307692307692,1.5,1.5,3.5,1.8888888888888888
4.696923076925,4.538461538461538,4.5,2.25,3.0,1.4444444444444444
1.767692,1.7692307692307692,2.0,4.75,3.0,4.333333333333333
2.7669,2.769230769230769,2.5,1.875,2.7,1.8888888888888888
4.6925,4.615384615384615,4.5,2.75,2.9,2.3333333333333335
2.9223,3.0,3.25,1.875,3.0,1.5555555555555556
1.535,1.9230769230769231,2.0,4.75,3.0,4.444444444444445
2.84,3.0,3.25,4.0,3.2,3.4444444444444446
2.38,2.38,4.85,2.25,2.32,4.82
2.32,2.32,4.72,2.35,2.28,4.75
1.82,1.72,4.68,2.15,2.35,4.72
1.75,1.65,4.72,2.08,2.42,4.68
1.68,1.78,4.78,2.12,2.38,4.75
1.75,1.82,4.85,2.18,2.32,4.82
1.82,1.75,4.72,2.05,2.28,4.78
1.62,1.72,1.55,2.12,2.35,2.38
1.55,1.65,1.62,2.05,2.42,2.32
1.68,1.58,1.68,2.15,2.38,2.25
1.75,1.65,1.58,2.08,2.32,2.35
1.62,1.72,1.65,2.18,2.28,2.42
4.58,2.15,2.32,4.72,2.32,2.25
4.65,2.08,2.25,4.68,2.28,2.32
4.72,2.18,2.18,4.75,2.35,2.38
4.78,2.25,2.28,4.82,2.42,2.35
4.85,2.12,2.35,4.78,2.38,2.28
2.32,4.75,2.28,2.35,4.78,2.38
2.25,4.82,2.35,2.42,4.72,2.45
2.38,4.78,2.42,2.38,4.65,2.42
2.42,4.65,2.38,2.32,4.78,2.38
2.35,4.72,2.32,2.25,4.85,2.32
2.42,2.32,4.78,2.38,2.35,4.85
2.38,2.28,4.85,2.32,2.42,4.92
2.32,2.35,4.92,2.25,2.38,4.88
2.28,2.42,4.88,2.35,2.32,4.85
2.35,2.38,4.82,2.42,2.28,4.78
1.65,1.82,4.58,2.08,2.35,4.62
1.72,1.75,4.65,2.12,2.42,4.68
1.78,1.68,4.72,2.18,2.38,4.75
1.85,1.75,4.78,2.05,2.32,4.82
1.72,1.82,4.85,2.15,2.28,4.78
1.58,1.65,1.68,2.05,2.42,2.32
1.65,1.58,1.62,2.12,2.38,2.25
1.72,1.65,1.55,2.18,2.32,2.18
1.62,1.72,1.48,2.05,2.28,2.22
1.55,1.68,1.58,2.15,2.35,2.28
4.68,2.08,2.18,4.75,2.25,2.15
4.75,2.15,2.25,4.82,2.32,2.22
4.82,2.22,2.32,4.78,2.38,2.28
4.78,2.18,2.28,4.72,2.42,2.35
4.65,2.25,2.35,4.78,2.45,2.42
2.28,4.68,2.35,2.25,4.72,2.32
2.22,4.75,2.28,2.32,4.78,2.38
2.35,4.82,2.32,2.38,4.85,2.45
2.42,4.78,2.38,2.35,4.72,2.42
2.38,4.72,2.42,2.28,4.78,2.38
2.32,2.38,4.72,2.35,2.42,4.78
2.25,2.32,4.78,2.28,2.38,4.85
2.35,2.25,4.85,2.32,2.32,4.92
2.42,2.35,4.92,2.38,2.28,4.88
2.38,2.42,4.88,2.45,2.35,4.82
1.68,1.75,4.65,2.12,2.38,4.72
1.75,1.68,4.72,2.18,2.32,4.78
1.82,1.62,4.78,2.05,2.28,4.85
1.75,1.58,4.85,2.15,2.35,4.82
1.68,1.65,4.82,2.08,2.42,4.78
1.55,1.62,1.52,2.12,2.38,2.25
1.62,1.55,1.58,2.08,2.32,2.32
1.68,1.48,1.65,2.15,2.28,2.38
1.62,1.55,1.72,2.08,2.35,2.45
1.58,1.62,1.65,2.18,2.42,2.38
2.841538461538463,3.076923076923077,2.5,3.0,2.9,3.3333333333333335
1.4615,1.2307692307692308,1.0,3.875,2.9,2.2222222222222223
1.53385,1.2307692307692308,1.25,4.75,2.9,4.111111111111111
1.464615,1.6923076923076923,1.75,2.75,4.0,2.7777777777777777
2.9223,2.3846153846153846,3.0,1.875,2.9,2.4444444444444446
4.61615,4.615384615384615,5.0,4.5,3.1,4.666666666666667
2.0777,1.7692307692307692,2.25,1.375,3.0,1.7777777777777777
1.3853846,1.3846153846153846,1.0,1.75,3.1,1.7777777777777777
1.23308,1.3846153846153846,1.25,3.375,2.5,3.111111111111111
2.23231,1.5384615384615385,1.75,2.875,2.1,3.6666666666666665
4.69925,4.6923076923076925,4.5,3.125,3.2,3.2222222222222223
4.9223,4.538461538461538,4.25,3.125,2.9,3.2222222222222223
4.76,4.6923076923076925,4.0,2.625,3.2,3.2222222222222223
1.9269231,1.7692307692307692,1.5,4.5,3.2,4.555555555555555
3.073077,2.8461538461538463,3.25,1.5,3.0,1.5555555555555556
4.385385,4.538461538461538,4.75,3.875,3.4,2.5555555555555554
1.693,2.0,2.25,2.875,2.7,3.111111111111111
