I do not find it easy in being close to others.,I don't usually feel hesitant and demeaned discussing my problems with others.,My parents are responsive to my feelings and needs:   ,My parents consider my wishes before asking me to do something: ,I worry about being alone., I am least interested in being attached with others.,My parents explain how they feel about my good/bad behaviour.,My parents encourage me to talk about my feelings and problems.,It is not difficult for me to get emotionally close to others.,"At times, I feel like getting close to others, but then something draws me back.  ",I don't prefer people getting too close to me.   ,I find it very easy to depend on others.   ,"My parents encourage me to freely express my thoughts, even if I disagree with them.",My parents explain the reasons behind their expectations.,My parents provide comfort and understanding when I am upset.,I feel worry about being abandoned by others.  ,I don't worry if others don't accept me.,My parents compliment me.,"My parents consider my preferences when making family plans (e.g., weekends away and holidays).",My parents respect my opinion and encourage me to express it.,I prefer to express my feelings.   ,I get annoyed when people are unavailable at the time of need.,My parents treat me as an equal member of the family.,My parents provide reasons for their expectations of me.,I withdraw myself to get too close to others.   ,My parents and I have warm and intimate times together.,I find people trustworthy.   ,"When I ask my parents why I have to do something, they tell me it's because they said so or because they want it that way.","My parents punish me by taking away privileges (e.g., TV, games, visiting friends).",I feel depressed if someone close to me is unavailable at the time of need.,"Unlike others, I am usually unwilling to get closer.",My parents yell when they disapprove of my behavior.,I usually discuss my problems with my relatives and friends.   ,"It is worrying for me, if others neglect me.   ",My parents explode in anger towards me.,"The moment someone starts to get closer, I find myself pulling away.   ",I share almost everything with my closed ones.,I get depressed when my closed ones are not around me as much as I would like.  ,"I don't bother, if closed ones like or love me.  ",I find it relatively easy to get close to others.   ,I sometimes worry that I will be hurt if I allow myself to become too close to others. ,"I am comfortable, irrespective of people being with me or not.  ",I feel shy in sharing things to others.   ,I become irritated or upset in maintaining the relationship with others.  ,My parents spank me when they don't like what I do or say.,My parents use criticism to make me improve my behavior.,My parents use threats as a form of punishment with little or no justification.,"My parents punish me by withholding emotional expressions (e.g., kisses and cuddles).   ",My parents openly criticize me when my behavior does not meet their expectations.   ,My parents struggle to change how I think or feel about things.  ,My parents point out my past behavioral problems to ensure I don't repeat them.   ,My parents remind me that they are my parents.   ,My parents remind me of all the things they do for me.   ,My parents find it difficult to discipline me.   ,My parents give in to me when I cause a commotion about something.   ,My parents spoil me.   ,My parents ignore my bad behavior.   
2,5,3,3,2,5,3,3,2,2,1,5,2,3,2,2,1,2,3,3,2,4,3,3,1,3,2,2,3,3,4,2,5,3,3,4,1,3,1,1,1,3,2,3,3,3,3,4,4,3,3,2,2,4,2,2,4
2,2,2,4,3,5,2,3,4,4,4,1,4,4,3,4,4,3,4,2,3,2,3,3,1,4,2,4,3,2,5,2,1,4,3,2,3,2,5,1,5,3,4,3,4,2,3,2,3,2,2,3,2,3,2,2,2
5,4,1,2,5,4,2,2,5,4,5,5,2,1,1,5,4,2,1,2,4,5,1,2,5,1,5,2,1,5,4,1,5,5,1,4,4,4,4,5,4,5,5,5,2,1,2,1,2,2,2,1,1,1,1,1,1
4,4,5,5,4,4,4,5,2,4,4,4,5,4,5,2,4,5,4,4,4,2,4,4,4,5,3,5,5,2,3,5,2,3,5,3,4,4,4,3,2,3,3,3,5,5,4,5,5,4,5,4,5,4,4,5,5
5,5,2,3,5,5,2,2,5,4,4,5,1,3,1,5,4,1,1,3,4,5,1,2,4,3,4,1,1,4,4,1,4,5,2,5,5,4,5,5,4,4,5,4,2,1,1,2,1,3,2,3,1,2,2,3,2
4,4,5,5,5,5,4,4,5,4,5,4,5,4,4,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,4,4,4,5,4,4,4,5,5,4,5,4,4,4,4,4,4,5,4,5,4,5,4
1,3,5,5,2,1,5,5,2,3,2,1,4,4,5,3,1,5,4,4,2,3,5,5,1,4,3,5,5,3,2,4,2,2,5,1,3,1,2,1,1,1,2,2,5,5,5,4,5,4,4,5,5,4,5,4,4
2,1,2,2,3,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,1,1,2,1,1,3,1,1,2,1,1,1,3,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,1
1,3,2,1,3,2,1,1,2,2,1,3,2,2,2,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,2,2,1,3,3,1,1,2,1,2,3,2,2,1,1,1,2,2,1,1,1,1,2,2,2
1,3,2,2,2,2,2,3,2,1,1,1,1,2,2,2,1,3,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,2,1,3,2,2,1,1,2,3,2,2,1,1,2,1
